Spectrum,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
151.355,512.0,508.0,512.0,501.0,501.0,505.0,507.0,511.0,509.0,503.0,500.0,506.0,510.0,513.0,499.0,508.0,512.0,504.0,505.0,507.0,501.0,510.0,512.0,501.0,505.0,509.0,505.0,509.0,506.0,505.0,509.0,510.0,507.0,507.0,504.0,506.0,504.0,501.0,506.0,505.0,509.0,502.0,510.0,508.0,508.0,511.0,504.0,509.0,502.0,512.0,509.0,508.0,506.0,501.0,507.0,511.0,507.0,504.0,513.0,498.0,511.0,503.0,504.0,503.0,508.0,509.0,510.0,509.0,516.0,511.0,511.0,512.0,507.0,509.0,507.0,511.0,506.0,500.0,508.0,507.0,497.0,508.0,509.0,505.0,503.0,511.0,514.0,509.0,512.0,521.0,509.0,516.0,504.0,510.0,509.0,508.0,504.0,506.0,505.0,512.0,
152.616,508.0,510.0,510.0,509.0,512.0,507.0,502.0,509.0,510.0,511.0,508.0,501.0,505.0,511.0,507.0,504.0,504.0,512.0,518.0,502.0,512.0,508.0,505.0,505.0,508.0,513.0,504.0,503.0,503.0,499.0,511.0,514.0,510.0,511.0,508.0,508.0,502.0,509.0,507.0,501.0,509.0,514.0,508.0,506.0,507.0,514.0,501.0,501.0,509.0,510.0,498.0,502.0,505.0,503.0,512.0,502.0,512.0,506.0,507.0,507.0,504.0,510.0,507.0,509.0,511.0,500.0,504.0,505.0,511.0,513.0,505.0,507.0,511.0,511.0,506.0,510.0,504.0,506.0,514.0,518.0,505.0,510.0,507.0,501.0,506.0,504.0,513.0,511.0,500.0,514.0,504.0,512.0,507.0,508.0,508.0,517.0,512.0,511.0,515.0,504.0,
153.877,501.0,504.0,495.0,507.0,513.0,505.0,513.0,505.0,511.0,512.0,515.0,505.0,502.0,500.0,506.0,513.0,509.0,513.0,517.0,505.0,506.0,506.0,504.0,507.0,497.0,508.0,503.0,512.0,513.0,503.0,503.0,500.0,503.0,504.0,504.0,504.0,506.0,509.0,509.0,506.0,507.0,510.0,516.0,504.0,512.0,506.0,508.0,509.0,508.0,510.0,505.0,512.0,510.0,507.0,506.0,506.0,507.0,502.0,507.0,506.0,514.0,501.0,514.0,503.0,509.0,506.0,504.0,509.0,513.0,509.0,501.0,506.0,510.0,510.0,511.0,502.0,511.0,509.0,507.0,505.0,505.0,514.0,511.0,513.0,509.0,508.0,507.0,509.0,505.0,511.0,513.0,508.0,510.0,506.0,504.0,506.0,504.0,504.0,508.0,503.0,
155.138,508.0,507.0,512.0,509.0,505.0,507.0,505.0,514.0,511.0,512.0,509.0,510.0,511.0,504.0,509.0,510.0,517.0,500.0,508.0,506.0,507.0,497.0,508.0,503.0,508.0,513.0,509.0,510.0,517.0,508.0,505.0,511.0,503.0,506.0,504.0,511.0,505.0,509.0,511.0,508.0,499.0,511.0,512.0,502.0,503.0,507.0,511.0,504.0,506.0,506.0,511.0,510.0,509.0,509.0,509.0,514.0,512.0,502.0,505.0,508.0,504.0,506.0,506.0,511.0,509.0,509.0,507.0,509.0,507.0,502.0,507.0,507.0,513.0,503.0,505.0,500.0,508.0,507.0,511.0,500.0,507.0,508.0,510.0,509.0,508.0,516.0,503.0,506.0,515.0,509.0,505.0,504.0,504.0,510.0,504.0,510.0,506.0,503.0,511.0,506.0,
156.399,515.0,510.0,512.0,511.0,516.0,505.0,506.0,513.0,513.0,514.0,503.0,509.0,507.0,510.0,506.0,509.0,502.0,513.0,502.0,512.0,501.0,509.0,508.0,507.0,498.0,507.0,514.0,505.0,510.0,507.0,507.0,508.0,511.0,502.0,503.0,503.0,509.0,502.0,509.0,506.0,508.0,505.0,506.0,504.0,508.0,506.0,503.0,512.0,509.0,517.0,519.0,509.0,507.0,508.0,516.0,513.0,512.0,503.0,508.0,500.0,506.0,509.0,509.0,506.0,506.0,504.0,504.0,503.0,498.0,511.0,501.0,509.0,506.0,505.0,502.0,508.0,510.0,510.0,505.0,516.0,516.0,511.0,508.0,512.0,504.0,506.0,505.0,508.0,513.0,518.0,507.0,504.0,505.0,508.0,509.0,507.0,510.0,508.0,510.0,509.0,
157.660,506.0,506.0,507.0,504.0,500.0,505.0,506.0,503.0,504.0,506.0,504.0,496.0,507.0,509.0,503.0,510.0,511.0,505.0,504.0,508.0,512.0,503.0,508.0,510.0,515.0,511.0,506.0,507.0,502.0,503.0,514.0,500.0,510.0,509.0,508.0,512.0,512.0,513.0,515.0,505.0,512.0,512.0,505.0,513.0,505.0,506.0,500.0,506.0,512.0,511.0,507.0,506.0,511.0,508.0,500.0,500.0,506.0,507.0,510.0,502.0,502.0,510.0,507.0,511.0,509.0,509.0,509.0,504.0,506.0,513.0,506.0,508.0,508.0,516.0,508.0,514.0,513.0,504.0,509.0,512.0,514.0,511.0,506.0,509.0,517.0,525.0,505.0,505.0,510.0,501.0,510.0,507.0,509.0,508.0,509.0,502.0,508.0,510.0,514.0,510.0,
158.920,510.0,510.0,511.0,510.0,506.0,513.0,501.0,499.0,510.0,505.0,504.0,514.0,507.0,506.0,509.0,502.0,519.0,511.0,511.0,510.0,506.0,505.0,511.0,512.0,510.0,510.0,512.0,506.0,506.0,503.0,514.0,514.0,504.0,513.0,504.0,509.0,514.0,506.0,505.0,510.0,511.0,513.0,507.0,502.0,503.0,508.0,509.0,501.0,510.0,503.0,500.0,509.0,510.0,502.0,510.0,510.0,505.0,514.0,506.0,504.0,511.0,503.0,501.0,506.0,503.0,512.0,498.0,509.0,518.0,506.0,505.0,504.0,501.0,513.0,507.0,499.0,514.0,506.0,509.0,508.0,510.0,503.0,508.0,502.0,504.0,510.0,506.0,508.0,513.0,505.0,506.0,513.0,514.0,508.0,508.0,502.0,509.0,516.0,505.0,512.0,
160.180,507.0,506.0,497.0,504.0,501.0,513.0,507.0,504.0,501.0,502.0,504.0,500.0,503.0,513.0,505.0,515.0,509.0,504.0,502.0,509.0,499.0,511.0,509.0,503.0,509.0,510.0,504.0,511.0,508.0,513.0,511.0,510.0,511.0,499.0,512.0,511.0,510.0,511.0,512.0,515.0,507.0,514.0,505.0,506.0,503.0,503.0,513.0,516.0,507.0,506.0,513.0,518.0,507.0,507.0,512.0,504.0,509.0,514.0,503.0,504.0,513.0,518.0,504.0,512.0,499.0,512.0,512.0,508.0,497.0,508.0,516.0,506.0,503.0,503.0,510.0,505.0,506.0,510.0,499.0,508.0,505.0,507.0,506.0,507.0,514.0,514.0,508.0,510.0,502.0,507.0,506.0,506.0,515.0,507.0,512.0,509.0,506.0,508.0,517.0,511.0,
161.440,515.0,504.0,511.0,503.0,510.0,510.0,506.0,507.0,514.0,503.0,505.0,506.0,505.0,507.0,502.0,509.0,506.0,516.0,503.0,502.0,508.0,518.0,516.0,499.0,509.0,509.0,511.0,513.0,504.0,509.0,506.0,504.0,516.0,508.0,502.0,514.0,508.0,511.0,516.0,509.0,511.0,505.0,510.0,504.0,509.0,505.0,506.0,514.0,519.0,503.0,505.0,502.0,508.0,511.0,518.0,505.0,506.0,505.0,507.0,504.0,507.0,517.0,508.0,508.0,508.0,504.0,514.0,514.0,507.0,506.0,512.0,515.0,508.0,500.0,514.0,503.0,509.0,505.0,511.0,512.0,509.0,509.0,509.0,513.0,510.0,519.0,509.0,505.0,509.0,505.0,506.0,505.0,504.0,505.0,514.0,514.0,506.0,501.0,506.0,513.0,
162.699,503.0,506.0,508.0,502.0,506.0,510.0,512.0,510.0,513.0,512.0,518.0,512.0,509.0,508.0,509.0,508.0,509.0,513.0,511.0,511.0,497.0,512.0,511.0,512.0,505.0,509.0,514.0,510.0,505.0,505.0,511.0,507.0,512.0,499.0,508.0,513.0,508.0,515.0,505.0,502.0,510.0,505.0,502.0,512.0,509.0,513.0,500.0,501.0,508.0,506.0,507.0,510.0,508.0,508.0,501.0,502.0,505.0,513.0,506.0,504.0,507.0,504.0,504.0,508.0,507.0,507.0,510.0,507.0,506.0,512.0,506.0,506.0,512.0,511.0,505.0,507.0,510.0,506.0,509.0,515.0,507.0,507.0,515.0,507.0,499.0,518.0,510.0,501.0,513.0,511.0,506.0,503.0,505.0,505.0,510.0,511.0,502.0,510.0,499.0,506.0,
