Spectrum,1,2,3,4,5,6,7,8,9,10,
151.355,1135.0,1124.0,1126.0,1169.0,1103.0,1093.0,1127.0,1114.0,1138.0,1096.0,
152.616,1133.0,1137.0,1121.0,1098.0,1146.0,1147.0,1174.0,1096.0,1119.0,1144.0,
153.877,1175.0,1140.0,1155.0,1115.0,1098.0,1136.0,1121.0,1143.0,1133.0,1095.0,
155.138,1145.0,1115.0,1143.0,1128.0,1137.0,1151.0,1146.0,1151.0,1120.0,1146.0,
156.399,1167.0,1167.0,1165.0,1156.0,1157.0,1147.0,1189.0,1099.0,1132.7,1152.2,
157.660,1153.0,1158.0,1149.0,1135.0,1162.0,1175.0,1150.0,1152.0,1145.3,1158.3,
158.920,1167.0,1165.0,1162.0,1203.0,1169.0,1123.0,1134.0,1174.0,1158.0,1164.5,
160.180,1184.0,1186.0,1149.0,1181.0,1174.0,1125.0,1177.0,1158.0,1170.7,1170.7,
161.440,1205.0,1174.0,1191.0,1195.0,1191.0,1163.0,1171.0,1166.0,1183.3,1176.8,
162.699,1195.0,1175.0,1192.0,1194.0,1153.0,1176.0,1192.0,1166.0,1196.0,1183.0,
163.959,1212.0,1186.5,1206.0,1147.0,1211.0,1181.0,1185.0,1202.0,1162.0,1200.0,
165.218,1205.0,1198.0,1215.0,1195.0,1174.0,1208.0,1197.0,1206.0,1162.0,1203.0,
166.477,1210.0,1209.5,1230.7,1201.0,1211.0,1222.0,1243.0,1223.0,1201.0,1200.0,
167.735,1237.0,1221.0,1246.3,1200.0,1241.0,1182.0,1194.0,1232.0,1175.0,1240.0,
168.993,1209.0,1232.5,1262.0,1198.0,1214.0,1224.0,1238.0,1190.0,1214.0,1276.0,
170.252,1280.0,1244.0,1277.7,1229.0,1217.8,1223.0,1260.0,1251.0,1255.0,1208.0,
171.510,1280.0,1242.0,1293.3,1254.0,1221.7,1210.0,1295.0,1256.0,1211.0,1248.0,
172.767,1239.0,1261.0,1309.0,1280.0,1225.5,1252.0,1290.2,1270.0,1264.0,1245.0,
174.025,1320.0,1239.0,1223.0,1254.0,1229.3,1264.0,1285.3,1293.0,1233.0,1267.0,
175.282,1329.0,1247.8,1290.0,1289.0,1233.2,1254.0,1280.5,1278.0,1235.5,1245.0,
176.539,1321.0,1256.7,1301.0,1282.0,1237.0,1281.0,1275.7,1284.0,1238.0,1269.0,
177.795,1286.0,1265.5,1310.0,1276.0,1298.0,1280.0,1270.8,1274.0,1240.5,1277.2,
179.052,1275.0,1274.3,1315.0,1257.0,1284.0,1279.0,1266.0,1294.0,1243.0,1285.3,
180.308,1301.0,1283.2,1250.0,1257.0,1307.0,1278.0,1271.5,1291.3,1245.5,1293.5,
181.564,1320.0,1289.0,1258.2,1260.0,1288.0,1277.0,1277.0,1288.7,1248.0,1301.7,
182.820,1294.0,1294.8,1266.3,1281.0,1307.0,1276.0,1282.5,1286.0,1305.0,1309.8,
184.075,1303.0,1300.6,1274.5,1331.0,1300.2,1279.7,1288.0,1283.3,1300.0,1318.0,
185.331,1338.0,1306.4,1282.7,1312.0,1293.3,1283.3,1293.5,1287.3,1316.0,1315.0,
186.586,1334.0,1305.3,1284.1,1330.0,1286.5,1287.0,1299.0,1291.2,1311.0,1276.0,
187.840,1331.5,1304.3,1285.4,1305.0,1279.7,1290.7,1310.0,1295.2,1304.2,1294.0,
189.095,1329.0,1303.2,1286.8,1295.0,1272.8,1294.3,1271.0,1299.1,1297.3,1294.0,
190.349,1326.5,1302.1,1288.2,1326.0,1266.0,1298.0,1272.0,1303.1,1290.5,1279.0,
191.603,1324.0,1301.1,1289.6,1337.0,1285.0,1287.0,1307.0,1307.0,1283.7,1287.0,
192.857,1321.5,1300.0,1291.0,1330.0,1274.0,1262.0,1296.2,1318.0,1276.8,1291.0,
194.111,1319.0,1267.0,1292.0,1272.0,1247.0,1259.0,1285.3,1288.0,1270.0,1248.0,
195.364,1315.0,1282.0,1285.0,1272.3,1273.0,1267.0,1274.5,1289.0,1292.0,1286.0,
196.617,1276.0,1302.0,1278.0,1272.7,1274.0,1245.0,1263.7,1290.0,1284.7,1260.0,
197.870,1296.0,1242.0,1271.0,1273.0,1261.0,1267.0,1252.8,1291.0,1277.3,1251.0,
199.123,1233.0,1250.0,1264.0,1273.3,1236.0,1262.0,1242.0,1292.0,1270.0,1250.2,
200.375,1242.0,1288.0,1257.0,1273.7,1290.0,1256.2,1264.0,1293.0,1262.7,1249.3,
201.627,1217.0,1278.3,1250.0,1274.0,1279.0,1250.3,1260.5,1294.0,1255.3,1248.5,
202.879,1284.0,1268.7,1259.0,1268.2,1268.0,1244.5,1257.0,1242.0,1248.0,1247.7,
204.131,1251.0,1259.0,1259.3,1262.3,1223.0,1238.7,1253.5,1277.0,1229.0,1246.8,
205.382,1300.0,1249.3,1259.7,1256.5,1284.0,1232.8,1250.0,1283.0,1244.0,1246.0,
206.634,1272.0,1239.7,1260.0,1250.7,1211.0,1227.0,1246.5,1300.0,1241.0,1234.0,
207.885,1280.0,1230.0,1260.3,1244.8,1250.0,1233.0,1239.8,1251.0,1243.0,1226.0,
209.135,1239.0,1246.0,1260.7,1239.0,1247.0,1245.0,1233.0,1227.0,1245.0,1226.8,
210.386,1251.0,1221.0,1261.0,1251.0,1244.0,1250.0,1226.3,1256.0,1267.0,1227.7,
211.636,1246.0,1262.0,1266.0,1258.0,1241.0,1220.0,1219.5,1225.0,1256.0,1228.5,
212.886,1191.0,1221.0,1242.0,1215.0,1238.0,1206.0,1212.8,1193.0,1256.0,1229.3,
214.136,1211.0,1227.0,1231.0,1210.0,1235.0,1211.0,1206.0,1235.0,1198.0,1230.2,
215.386,1247.0,1215.0,1208.0,1247.0,1232.0,1207.0,1193.0,1207.0,1216.0,1231.0,
216.635,1236.0,1192.0,1184.0,1204.0,1227.0,1203.0,1193.0,1202.2,1228.0,1230.0,
217.884,1225.0,1214.0,1217.0,1202.0,1209.0,1208.0,1201.0,1197.3,1188.0,1220.0,
219.133,1214.0,1246.0,1205.0,1210.0,1214.0,1189.0,1219.0,1192.5,1222.0,1178.0,
220.381,1203.0,1198.0,1209.0,1212.0,1199.0,1194.0,1189.0,1187.7,1205.0,1187.0,
221.630,1192.0,1158.0,1185.0,1191.0,1201.3,1166.0,1184.0,1193.1,1192.0,1233.0,
222.878,1181.0,1187.0,1180.0,1184.0,1203.7,1213.0,1177.0,1198.4,1218.0,1190.0,
224.126,1221.0,1150.0,1196.0,1194.0,1206.0,1210.0,1203.0,1203.8,1200.0,1201.0,
225.374,1202.0,1169.0,1188.0,1214.0,1208.3,1179.0,1198.0,1209.2,1207.0,1224.0,
226.621,1199.0,1181.0,1217.0,1195.0,1210.7,1177.3,1199.0,1214.6,1184.0,1174.0,
227.868,1190.0,1178.0,1211.0,1200.0,1213.0,1175.7,1177.0,1220.0,1208.0,1164.0,
229.115,1229.0,1187.0,1196.0,1194.0,1185.0,1174.0,1176.0,1196.0,1179.0,1179.0,
230.362,1182.0,1192.0,1197.0,1183.0,1145.0,1172.3,1175.0,1208.0,1155.0,1180.0,
231.608,1215.0,1191.0,1192.0,1182.0,1195.0,1170.7,1164.0,1171.0,1187.0,1134.0,
232.855,1179.0,1171.0,1166.0,1185.0,1187.3,1169.0,1206.0,1148.0,1164.0,1201.0,
234.101,1152.0,1158.0,1161.0,1183.0,1179.7,1162.8,1162.0,1144.2,1166.0,1212.0,
235.346,1165.0,1149.0,1194.0,1163.0,1172.0,1156.7,1171.0,1140.3,1176.0,1188.0,
